#,LINEARobjectID,LCtype,P,A,stdev,rms,Lchi2pdf,nObs,skew,kurt,CUF
,12039129,1,0.636234,0.42,0.13,0.16,1.486,219,-0.24,-0.72,1
,12041258,5,0.287244,0.7,0.23,0.28,2.765,240,0.87,-0.45,1
,12050272,5,0.234442,0.75,0.22,0.19,0.852,215,1.32,1.41,1
,12052216,1,0.614091,0.46,0.15,0.19,1.015,192,-0.35,-1.04,1
,12052313,1,0.617413,0.42,0.15,0.17,1.753,223,0.26,2.31,1
,12058420,2,0.331378,0.49,0.18,0.25,1.618,186,-0.06,-1.51,1
,12059457,2,0.303621,0.33,0.12,0.16,1.938,80,0.0,-1.33,2
,12062665,1,0.523763,0.88,0.27,0.33,1.896,186,-0.24,-1.03,1
,12069774,2,0.415165,0.42,0.14,0.19,1.496,179,-0.07,-1.35,1
,12074034,1,0.52412,0.81,0.26,0.31,2.739,188,-0.75,-0.72,1
,12074944,1,0.468265,0.96,0.31,0.35,1.927,206,-0.77,-0.47,1
,12077930,1,0.579669,0.68,0.22,0.28,1.168,176,-0.28,-1.04,1
,12081294,5,0.457694,0.86,0.27,0.3,1.419,179,0.94,-0.03,1
,12082949,1,0.456516,0.91,0.3,0.37,2.95,189,-0.72,-0.56,1
,12088350,1,0.486539,0.64,0.21,0.22,1.307,221,-0.6,-0.34,1
,12091674,1,0.711225,0.42,0.14,0.16,1.063,216,-0.26,-0.86,1
,12093139,1,0.509448,0.89,0.3,0.38,2.514,198,-0.55,-0.95,1
,12097788,7,139.4505,1.25,0.43,0.51,1.834,229,0.54,-0.79,1
,12102822,1,0.562793,0.53,0.16,0.19,1.821,200,-0.48,-0.41,1
,12105373,1,0.714726,0.69,0.22,0.24,1.263,224,-0.56,-0.78,1
,12105672,1,0.484186,0.89,0.29,0.33,2.031,254,-0.61,-0.58,1
,12108241,1,0.460074,0.99,0.33,0.4,2.534,110,-0.75,-0.75,1
,12111449,5,0.275456,0.44,0.15,0.21,1.048,254,0.32,-1.26,1
,12112283,5,0.350074,0.41,0.14,0.14,0.789,215,0.72,0.24,1
,12115965,1,0.497614,0.83,0.27,0.32,1.154,209,-0.53,-0.66,1
,12118867,5,0.309146,0.31,0.11,0.14,1.929,98,0.17,-0.72,3
,12133810,1,0.551073,0.89,0.28,0.27,1.096,187,-0.95,-0.13,1
,12138650,0,-9.9,0.09,0.33,0.04,1.394,240,6.68,46.3,1
,12138683,5,0.274626,0.47,0.15,0.21,1.942,227,-0.69,-0.69,2
,12139036,0,0.334203,0.37,0.13,0.16,0.496,193,0.89,1.03,1
,12142471,5,0.462346,0.4,0.12,0.12,0.654,233,1.32,1.35,1
,12146066,1,0.553963,0.66,0.21,0.23,1.542,203,0.04,0.56,1
,12149191,1,0.597682,0.49,0.16,0.18,0.658,231,-0.06,-0.04,1
